Block,Field / collection,CMS field type,Repeatable,Required,Limit / validation,Renders on,Notes for the CMS build
Knowledge Pillars,Intro photo,Media (image),—,Yes,Landscape,Both,
Knowledge Pillars,Pillar,REPEATER (4),Yes,Yes,—,Both,"Fields: number, short label (mobile, ~12 chars), long label (desktop, ~26 chars), title, description, media"
Knowledge Pillars,— Media,Media (image or video),In repeater,Yes,Landscape 2:1,Both,Panel 02 currently holds a VERTICAL video in a landscape slot — enforce orientation on upload
Methodology,Section label / heading,Text x2,—,Yes,~30 chars,Both,
Methodology,Paragraph,REPEATER (2),Yes,No,~160 chars,DESKTOP ONLY,Hidden on mobile by design — flag in field help
Methodology,Diagram node,REPEATER (4),Yes,Yes,2 words,Both,"Fields: icon, line 1, line 2. Each label sets on two lines, so model the break as two fields rather than one string"
Methodology,Values heading,Single-line text,—,Yes,~30 chars,Both,
Methodology,Value,REPEATER (3),Yes,Yes,~90 chars,Both,"Fields: icon, name, description"
Methodology,Background film,Media (video),—,No,Silent loop,Both,"Decorative, sits under an 85% scrim. Needs a poster frame"
Experience,Section label / heading / sub,Text x3,—,Yes,Heading ~40 chars,Both,Sub-heading sets on two lines — model as two fields
Experience,Feature film,Media (video),—,Yes,16:9,Both,"The box is LOCKED to 16:9 to match the current file. A different aspect needs a CSS change, not a CMS change"
Experience,Feature title / caption,Text x2,—,Yes,~30 chars each,Both,
Experience,Rail label,Single-line text,—,No,~30 chars,MOBILE ONLY,
Experience,Reflection,"REPEATER (3, built for 6+)",Yes,Yes,Quote ~75 chars,Both,"Fields: quote, name, role, film, poster. Dots generate from the count — tested to 6"
Experience,— Quote,Long text,In repeater,Yes,2-3 lines,Both,Space for 3 lines is reserved so all cards align; longer copy breaks that
Experience,— Film,Media (video),In repeater,Yes,Match the card ratio,Both,"All 3 are STAND-INS today, and vertical sources in landscape cards"
Partners,Section label,Single-line text,—,Yes,1 word,Both,
Partners,Partner,REPEATER (3),Yes,Yes,—,Both,"Fields: name, logo, display height, optional link. All 3 logos missing — the wall shows names as text"
Accommodation,Section label / heading,Text x2,—,Yes,~28 chars,Both,
Accommodation,Fact,REPEATER (4),Yes,Yes,2 short lines,Both,"Fields: label, line 1, line 2. Three of the four use a hard line break — model as two fields"
Accommodation,Venue photo,REPEATER (4),Yes,Yes,Centre-cropped to 4:3,Both,Carousel and its live counter follow the count
FAQ,Section label / heading / intro,Text x3,—,Yes,Heading ~30 chars,Both,
FAQ,Question,REPEATER (4),Yes,Yes,"Q ~40, A ~220 chars",Both,"Fields: question, answer. Accordion extends freely"
FAQ,Side photo,Media (image),—,No,Landscape,DESKTOP ONLY,
Closing CTA,Heading,Single-line text,—,Yes,~35 chars,Both,
Closing CTA,Button label / URL,Text + link,—,Yes,1 word,Both,Reuse the global Register CTA
Closing CTA,Background image,Media (image),—,Yes,Full-bleed,Both,Shown at 45% behind a scrim
Footer,Blurb,Long text,—,Yes,1-2 sentences,Both,
Footer,Link column,REPEATER (3),Yes,No,—,DESKTOP ONLY,"Fields: heading, links[]. Hidden on mobile by design"
Footer,Copyright,Single-line text,—,Yes,—,Both,UNRESOLVED: confirm the legal entity before launch
Footer,Legal links,Repeater: label + target,Yes (2),No,—,DESKTOP ONLY,Privacy and Contact pages do not exist yet
Every image field,Alt text,Single-line text,Per asset,Conditional,—,Both,"Make it a required sibling of every non-decorative image. 9 of 20 images here are decorative and take an empty alt — the model needs a ""decorative"" toggle, not a forced value"
Every video field,Poster frame,Media (image),Per asset,Yes,First frame,Both,No video currently has one; without it the click-to-play cards show black until the file decodes
